,order_id,exec_type_1,execution_time_1,exec_type_2,execution_time_2,exec_type_3,execution_time_3,exec_type_4,execution_time_4,exec_type_5,execution_time_5
0,50000140,New,21-07-2021 3:20:41 PM,Fill,21-07-2021 3:20:47 PM,Partial Fill,21-07-2021 3:20:41 PM,,,,
1,2210531,New,1/11/2021 13:32,Fill,1/11/2021 13:33,,,,,,
2,2209313,New,13-05-2021 3:52:20 PM,Fill,13-05-2021 3:52:28 PM,,,,,,
3,50000132,New,21-07-2021 3:19:50 PM,,,,,,,,
4,2210530,New,1/11/2021 13:32,,,,,,,Canceled,1/11/2021 13:33
5,7000638,New,10/6/2021 17:08,,,,,,,,
6,7000794,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
7,7000805,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
8,50000125,New,17-08-2021 2:01:09 PM,Fill,17-08-2021 2:01:18 PM,,,,,,
9,7000370,New,15-06-2021 5:43:12 PM,,,,,Replace,15-06-2021 7:14:28 PM,Canceled,15-06-2021 7:14:36 PM
10,50000118,New,10/6/2021 17:09,Fill,10/6/2021 17:09,,,,,,
11,50000130,New,21-07-2021 3:18:17 PM,Fill,21-07-2021 3:18:17 PM,,,,,,
12,50000133,New,13-09-2021 9:14:53 PM,Fill,13-09-2021 9:14:53 PM,,,,,,
13,50000137,New,13-09-2021 9:32:22 PM,Fill,13-09-2021 9:32:22 PM,,,,,,
14,50000141,New,6/8/2021 16:15,Fill,6/8/2021 16:15,,,Replace,2/8/2021 21:54,,
15,50000141,New,2/8/2021 17:39,Fill,6/8/2021 16:15,,,Replace,2/8/2021 21:54,,
16,50000145,New,6/8/2021 16:21,Fill,6/8/2021 16:21,,,,,,
17,50000145,New,6/8/2021 16:21,Fill,14-09-2021 5:07:32 PM,,,,,,
18,50000145,New,14-09-2021 5:07:27 PM,Fill,6/8/2021 16:21,,,,,,
19,50000145,New,14-09-2021 5:07:27 PM,Fill,14-09-2021 5:07:32 PM,,,,,,
20,50000146,New,14-09-2021 5:08:39 PM,Fill,14-09-2021 5:08:39 PM,,,,,,
21,50000169,New,12/5/2021 17:44,Fill,12/5/2021 17:44,,,Replace,11/5/2021 21:45,,
22,50000169,New,11/5/2021 21:18,Fill,12/5/2021 17:44,,,Replace,11/5/2021 21:45,,
23,50000172,New,10/9/2021 17:11,Fill,10/9/2021 17:11,,,,,,
24,50000173,New,10/9/2021 17:27,Fill,10/9/2021 17:27,,,,,,
25,2209334,New,12/5/2021 16:09,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:55 PM,Canceled,15-06-2021 7:14:36 PM
26,2209334,New,12/5/2021 16:09,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:48 PM,Canceled,15-06-2021 7:14:36 PM
27,2209334,New,12/5/2021 16:09,Fill,12/5/2021 16:09,,,Replace,15-06-2021 7:14:22 PM,Canceled,15-06-2021 7:14:36 PM
28,2209334,New,12/5/2021 16:09,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:45 PM,Canceled,15-06-2021 7:14:36 PM
29,2209334,New,12/5/2021 16:09,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:50 PM,Canceled,15-06-2021 7:14:36 PM
30,2209334,New,15-06-2021 1:42:23 PM,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:55 PM,Canceled,15-06-2021 7:14:36 PM
31,2209334,New,15-06-2021 1:42:23 PM,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:48 PM,Canceled,15-06-2021 7:14:36 PM
32,2209334,New,15-06-2021 1:42:23 PM,Fill,12/5/2021 16:09,,,Replace,15-06-2021 7:14:22 PM,Canceled,15-06-2021 7:14:36 PM
33,2209334,New,15-06-2021 1:42:23 PM,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:45 PM,Canceled,15-06-2021 7:14:36 PM
34,2209334,New,15-06-2021 1:42:23 PM,Fill,12/5/2021 16:09,,,Replace,15-06-2021 6:08:50 PM,Canceled,15-06-2021 7:14:36 PM
35,7000858,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
36,50000128,New,13-09-2021 4:53:07 PM,Fill,13-09-2021 4:53:11 PM,,,,,,
37,2209337,New,12/5/2021 16:13,Fill,12/5/2021 16:15,,,,,,
38,50000186,New,6/7/2021 16:07,Fill,6/7/2021 16:07,,,,,,
39,50000170,New,11/5/2021 21:18,,,,,Replace,11/5/2021 21:45,,
40,60000117,New,8/7/2021 18:27,,,,,Replace,8/7/2021 19:45,Canceled,8/7/2021 22:00
41,50000131,New,21-07-2021 3:19:12 PM,Fill,29-09-2021 7:32:38 PM,,,,,Canceled,21-07-2021 3:19:42 PM
42,50000131,New,29-09-2021 7:32:38 PM,Fill,29-09-2021 7:32:38 PM,,,,,Canceled,21-07-2021 3:19:42 PM
43,7000701,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
44,7000892,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
45,2209331,New,12/5/2021 16:02,Fill,12/5/2021 16:08,,,,,,
46,50000171,New,11/5/2021 21:19,,,,,Replace,11/5/2021 21:45,,
47,50000129,New,13-09-2021 6:11:28 PM,Fill,13-09-2021 6:11:32 PM,,,,,,
48,50000161,New,13-05-2021 6:58:49 PM,,,,,Replace,13-05-2021 7:00:20 PM,,
49,60000116,New,8/7/2021 18:27,,,,,Replace,8/7/2021 19:45,Canceled,8/7/2021 22:00
50,7000749,New,10/6/2021 17:08,Fill,10/6/2021 17:08,Partial Fill,10/6/2021 17:08,,,,
51,50000127,New,17-08-2021 3:42:55 PM,Fill,13-09-2021 4:03:21 PM,,,,,,
52,50000127,New,17-08-2021 3:42:55 PM,Fill,17-08-2021 3:43:01 PM,,,,,,
53,50000127,New,13-09-2021 4:03:01 PM,Fill,13-09-2021 4:03:21 PM,,,,,,
54,50000127,New,13-09-2021 4:03:01 PM,Fill,17-08-2021 3:43:01 PM,,,,,,
55,50000123,New,15-06-2021 4:57:49 PM,,,,,Replace,15-06-2021 6:00:00 PM,Canceled,15-06-2021 7:14:36 PM
